val_loss,epoch,step,train_loss,train_task_loss,train_concept_loss
1.0382561683654785,0,15,,,
,0,15,1.8082425594329834,1.1524903774261475,0.6557521224021912
1.034044861793518,1,31,,,
,1,31,1.6749567985534668,1.1533474922180176,0.5216092467308044
1.0416148900985718,2,47,,,
,2,47,1.4918742179870605,1.1548652648925781,0.3370089828968048
1.0409562587738037,3,63,,,
,3,63,1.3924399614334106,1.1489754915237427,0.24346433579921722
1.0380033254623413,4,79,,,
,4,79,1.3616451025009155,1.1469945907592773,0.21465061604976654
1.0341923236846924,5,95,,,
,5,95,1.3421151638031006,1.1432403326034546,0.19887496531009674
1.02431058883667,6,111,,,
,6,111,1.3226656913757324,1.1341066360473633,0.18855904042720795
1.0014268159866333,7,127,,,
,7,127,1.2849512100219727,1.1088123321533203,0.17613866925239563
0.9545647501945496,8,143,,,
,8,143,1.2287510633468628,1.0623520612716675,0.16639919579029083
0.8918595910072327,9,159,,,
,9,159,1.1633723974227905,1.0008257627487183,0.1625467985868454
0.8349310159683228,10,175,,,
,10,175,1.087043046951294,0.929944634437561,0.15709826350212097
0.7963482141494751,11,191,,,
,11,191,1.0300894975662231,0.870476245880127,0.15961338579654694
0.7595365047454834,12,207,,,
,12,207,0.9990693926811218,0.846820056438446,0.15224933624267578
0.7396757006645203,13,223,,,
,13,223,0.9627355337142944,0.8048933744430542,0.15784220397472382
0.7044664621353149,14,239,,,
,14,239,0.9254934787750244,0.7756857872009277,0.14980767667293549
0.6914441585540771,15,255,,,
,15,255,0.9023005962371826,0.7534053325653076,0.14889536798000336
0.6743725538253784,16,271,,,
,16,271,0.8722730278968811,0.720020055770874,0.15225286781787872
0.6590878367424011,17,287,,,
,17,287,0.8469263315200806,0.6978335380554199,0.14909277856349945
0.6314795613288879,18,303,,,
,18,303,0.813805878162384,0.6650409698486328,0.14876490831375122
0.6177612543106079,19,319,,,
,19,319,0.8102594017982483,0.6705775856971741,0.13968192040920258
0.6248663067817688,20,335,,,
,20,335,0.7747935652732849,0.6315154433250427,0.14327822625637054
0.6009476184844971,21,351,,,
,21,351,0.7574602365493774,0.6099172830581665,0.14754298329353333
0.5965031385421753,22,367,,,
,22,367,0.7508036494255066,0.6045339107513428,0.1462697982788086
0.5753723382949829,23,383,,,
,23,383,0.7116932272911072,0.5681874752044678,0.14350585639476776
0.5721371173858643,24,399,,,
,24,399,0.7076157331466675,0.5686556696891785,0.13896004855632782
0.5601093173027039,25,415,,,
,25,415,0.686789870262146,0.5485884547233582,0.13820146024227142
0.5551482439041138,26,431,,,
,26,431,0.6749028563499451,0.5363686084747314,0.1385343372821808
0.5365732312202454,27,447,,,
,27,447,0.6586313247680664,0.5166151523590088,0.14201608300209045
0.5482255220413208,28,463,,,
,28,463,0.6271160840988159,0.49122416973114014,0.13589195907115936
0.5202859044075012,29,479,,,
,29,479,0.6255073547363281,0.4790617525577545,0.1464456468820572
0.5183156728744507,30,495,,,
,30,495,0.5995691418647766,0.4652620851993561,0.13430705666542053
0.509127140045166,31,511,,,
,31,511,0.5991219878196716,0.4577706754207611,0.14135129749774933
0.5003155469894409,32,527,,,
,32,527,0.5369802713394165,0.40060532093048096,0.13637487590312958
0.48895809054374695,33,543,,,
,33,543,0.5422929525375366,0.40514978766441345,0.13714319467544556
0.481424480676651,34,559,,,
,34,559,0.5265331864356995,0.3878035247325897,0.13872966170310974
0.4797370433807373,35,575,,,
,35,575,0.5110587477684021,0.37652432918548584,0.13453438878059387
0.4611668884754181,36,591,,,
,36,591,0.49968674778938293,0.3602372109889984,0.13944952189922333
0.47364646196365356,37,607,,,
,37,607,0.4907037913799286,0.3559226393699646,0.13478119671344757
0.45770740509033203,38,623,,,
,38,623,0.47036951780319214,0.3331664204597473,0.13720303773880005
0.4735514521598816,39,639,,,
,39,639,0.4591676890850067,0.3234732151031494,0.1356944441795349
0.46283426880836487,40,655,,,
,40,655,0.4545992910861969,0.3219144642353058,0.1326848268508911
0.463053822517395,41,671,,,
,41,671,0.45388635993003845,0.31888359785079956,0.13500282168388367
0.44624844193458557,42,687,,,
,42,687,0.41669532656669617,0.2819938361644745,0.13470149040222168
0.45007088780403137,43,703,,,
,43,703,0.43111005425453186,0.2994840443134308,0.13162603974342346
0.4385683536529541,44,719,,,
,44,719,0.44389086961746216,0.3090406060218811,0.13485023379325867
0.4484633207321167,45,735,,,
,45,735,0.3990420699119568,0.2660939395427704,0.1329481154680252
0.438637912273407,46,751,,,
,46,751,0.38840451836586,0.2562618851661682,0.13214264810085297
0.4260425269603729,47,767,,,
,47,767,0.3880939781665802,0.2548691928386688,0.13322483003139496
0.43874356150627136,48,783,,,
,48,783,0.3770410120487213,0.24492807686328888,0.13211289048194885
0.4340612292289734,49,799,,,
,49,799,0.37565141916275024,0.24278292059898376,0.13286854326725006
0.434341162443161,50,815,,,
,50,815,0.3740902543067932,0.24025195837020874,0.13383834064006805
0.43406134843826294,51,831,,,
,51,831,0.3648947477340698,0.23224706947803497,0.13264772295951843
0.41735488176345825,52,847,,,
,52,847,0.34771662950515747,0.2138061672449112,0.13391049206256866
0.42020702362060547,53,863,,,
,53,863,0.36333605647087097,0.23119902610778809,0.13213711977005005
0.43501362204551697,54,879,,,
,54,879,0.34608668088912964,0.21337124705314636,0.13271541893482208
0.4263823628425598,55,895,,,
,55,895,0.3345144987106323,0.20145490765571594,0.13305959105491638
0.4380275011062622,56,911,,,
,56,911,0.32486289739608765,0.19151896238327026,0.1333438605070114
0.44694453477859497,57,927,,,
,57,927,0.3177773356437683,0.18484392762184143,0.1329333782196045
0.437504380941391,58,943,,,
,58,943,0.29919129610061646,0.16604965925216675,0.1331416517496109
0.46426838636398315,59,959,,,
,59,959,0.30321046710014343,0.16994048655033112,0.1332699954509735
0.4434886872768402,60,975,,,
,60,975,0.28632041811943054,0.1521417498588562,0.13417863845825195
0.466642826795578,61,991,,,
,61,991,0.28195035457611084,0.14894652366638184,0.13300387561321259
0.4449603259563446,62,1007,,,
,62,1007,0.2923947870731354,0.15823538601398468,0.1341593712568283
0.4598589241504669,63,1023,,,
,63,1023,0.29704248905181885,0.1652599275112152,0.13178259134292603
0.45891234278678894,64,1039,,,
,64,1039,0.2765912413597107,0.1440177708864212,0.13257348537445068
0.46139347553253174,65,1055,,,
,65,1055,0.25511255860328674,0.12072765082120895,0.1343849152326584
0.46253976225852966,66,1071,,,
,66,1071,0.25602248311042786,0.12146862596273422,0.13455386459827423
0.4735238254070282,67,1087,,,
,67,1087,0.25234708189964294,0.12060651183128357,0.13174057006835938
0.48063355684280396,68,1103,,,
,68,1103,0.24281512200832367,0.11191775649785995,0.1308973729610443
0.48361527919769287,69,1119,,,
,69,1119,0.24223008751869202,0.11199772357940674,0.13023234903812408
0.5003448724746704,70,1135,,,
,70,1135,0.2511003911495209,0.12074212729930878,0.1303582638502121
0.48687323927879333,71,1151,,,
,71,1151,0.24624145030975342,0.11442059278488159,0.13182085752487183
0.497104674577713,72,1167,,,
,72,1167,0.2698700428009033,0.1343548595905304,0.13551516830921173
0.49552804231643677,73,1183,,,
,73,1183,0.23982666432857513,0.10845974832773209,0.13136690855026245
0.49752408266067505,74,1199,,,
,74,1199,0.22338688373565674,0.09256920963525772,0.13081765174865723
0.5105447173118591,75,1215,,,
,75,1215,0.22752666473388672,0.09355059266090393,0.1339760571718216
0.5044440031051636,76,1231,,,
,76,1231,0.22650042176246643,0.09464715421199799,0.13185325264930725
0.503201961517334,77,1247,,,
,77,1247,0.23667673766613007,0.10532771050930023,0.13134904205799103
0.5192621350288391,78,1263,,,
,78,1263,0.21071794629096985,0.07869038730859756,0.13202756643295288
0.524394690990448,79,1279,,,
,79,1279,0.2273644655942917,0.09663337469100952,0.13073112070560455
0.5227820873260498,80,1295,,,
,80,1295,0.2121753990650177,0.08420469611883163,0.12797069549560547
0.5199171304702759,81,1311,,,
,81,1311,0.2159520834684372,0.08561890572309494,0.13033318519592285
0.5262196660041809,82,1327,,,
,82,1327,0.2141272872686386,0.0835627093911171,0.13056457042694092
0.5269721746444702,83,1343,,,
,83,1343,0.22587436437606812,0.09411435574293137,0.13176000118255615
0.5276905298233032,84,1359,,,
,84,1359,0.21557481586933136,0.08572304248809814,0.12985175848007202
0.5322104096412659,85,1375,,,
,85,1375,0.22054652869701385,0.09032925218343735,0.1302172988653183
0.5329394340515137,86,1391,,,
,86,1391,0.20750367641448975,0.07696303725242615,0.1305406391620636
0.5341935157775879,87,1407,,,
,87,1407,0.19311238825321198,0.06503603607416153,0.12807634472846985
0.5449756383895874,88,1423,,,
,88,1423,0.21657875180244446,0.08768605440855026,0.1288927048444748
0.5405874848365784,89,1439,,,
,89,1439,0.20541945099830627,0.07537344843149185,0.13004598021507263
0.5392377972602844,90,1455,,,
,90,1455,0.2023865282535553,0.07202663272619247,0.13035990297794342
0.5433198809623718,91,1471,,,
,91,1471,0.20626041293144226,0.0786077156662941,0.12765270471572876
0.5438373684883118,92,1487,,,
,92,1487,0.22769534587860107,0.09902501851320267,0.128670334815979
0.5581740140914917,93,1503,,,
,93,1503,0.21298609673976898,0.08364759385585785,0.12933850288391113
0.545932412147522,94,1519,,,
,94,1519,0.2095465511083603,0.07694987952709198,0.13259665668010712
0.5436892509460449,95,1535,,,
,95,1535,0.20974086225032806,0.08116237819194794,0.12857851386070251
0.5462157726287842,96,1551,,,
,96,1551,0.20077922940254211,0.07202509790658951,0.12875409424304962
0.5489013195037842,97,1567,,,
,97,1567,0.20194745063781738,0.07580046355724335,0.12614697217941284
0.5523756742477417,98,1583,,,
,98,1583,0.1984432488679886,0.07001005113124847,0.1284332126379013
0.5539429783821106,99,1599,,,
,99,1599,0.19945362210273743,0.07183145731687546,0.12762215733528137
