train_task_loss_step,epoch,step,val_task_loss,train_task_loss_epoch
9.141098022460938,0,9,,
,0,12,11.821930885314941,
,0,12,,7.140100002288818
6.87033748626709,1,19,,
,1,25,9.396160125732422,
,1,25,,5.815394878387451
11.915142059326172,2,29,,
,2,38,9.488801956176758,
,2,38,,5.80153751373291
3.391218900680542,3,39,,
9.4299898147583,3,49,,
,3,51,9.258798599243164,
,3,51,,5.52655553817749
3.1876659393310547,4,59,,
,4,64,13.175065040588379,
,4,64,,6.553754806518555
5.700908660888672,5,69,,
,5,77,15.049099922180176,
,5,77,,7.695627689361572
6.147426128387451,6,79,,
3.885806083679199,6,89,,
,6,90,13.720305442810059,
,6,90,,5.6651411056518555
3.400231122970581,7,99,,
,7,103,13.373281478881836,
,7,103,,4.622864246368408
2.52817440032959,8,109,,
,8,116,11.845269203186035,
,8,116,,5.32568359375
4.794884204864502,9,119,,
11.851828575134277,9,129,,
,9,129,10.795772552490234,
,9,129,,5.57014274597168
6.0135178565979,10,139,,
,10,142,9.806722640991211,
,10,142,,5.936797618865967
3.5679447650909424,11,149,,
,11,155,10.61750602722168,
,11,155,,4.381153106689453
7.435206413269043,12,159,,
,12,168,10.194746017456055,
,12,168,,5.81662654876709
2.261850357055664,13,169,,
1.9362246990203857,13,179,,
,13,181,11.542076110839844,
,13,181,,4.188568115234375
3.4227373600006104,14,189,,
,14,194,11.98840618133545,
,14,194,,5.6704864501953125
8.271058082580566,15,199,,
,15,207,11.831578254699707,
,15,207,,4.40517520904541
10.971431732177734,16,209,,
7.645609378814697,16,219,,
,16,220,10.216768264770508,
,16,220,,4.884251117706299
6.06958532333374,17,229,,
,17,233,13.141136169433594,
,17,233,,4.154415130615234
9.975573539733887,18,239,,
,18,246,11.32647705078125,
,18,246,,5.162868022918701
3.2674384117126465,19,249,,
16.238231658935547,19,259,,
,19,259,10.901334762573242,
,19,259,,5.006380558013916
1.6905992031097412,20,269,,
,20,272,10.46536922454834,
,20,272,,4.555130481719971
1.0611572265625,21,279,,
,21,285,9.676462173461914,
,21,285,,4.136463165283203
2.5152924060821533,22,289,,
,22,298,9.117511749267578,
,22,298,,4.661231994628906
0.7626121044158936,23,299,,
2.233088493347168,23,309,,
,23,311,10.997661590576172,
,23,311,,4.18937349319458
0.22442808747291565,24,319,,
,24,324,9.618083953857422,
,24,324,,4.96802282333374
1.111558198928833,25,329,,
,25,337,11.183321952819824,
,25,337,,4.248569488525391
2.596139430999756,26,339,,
6.640859603881836,26,349,,
,26,350,10.230476379394531,
,26,350,,4.590335845947266
1.2300055027008057,27,359,,
,27,363,10.224995613098145,
,27,363,,3.8601744174957275
5.966826438903809,28,369,,
,28,376,11.210700988769531,
,28,376,,3.7806930541992188
7.186052322387695,29,379,,
13.056026458740234,29,389,,
,29,389,10.279948234558105,
,29,389,,4.183550834655762
5.565736770629883,30,399,,
,30,402,10.525452613830566,
,30,402,,4.607818603515625
3.0754618644714355,31,409,,
,31,415,11.099539756774902,
,31,415,,4.774459362030029
2.8810391426086426,32,419,,
,32,428,10.267786979675293,
,32,428,,4.698582172393799
7.4383134841918945,33,429,,
0.4769046902656555,33,439,,
,33,441,9.590217590332031,
,33,441,,4.121562480926514
3.2201409339904785e-05,34,449,,
,34,454,9.749756813049316,
,34,454,,4.15125036239624
4.655630588531494,35,459,,
,35,467,10.09155559539795,
,35,467,,3.925281286239624
6.099119186401367,36,469,,
4.4406890869140625,36,479,,
,36,480,10.042691230773926,
,36,480,,4.325281143188477
4.721965312957764,37,489,,
,37,493,9.774927139282227,
,37,493,,4.26523494720459
6.7473673820495605,38,499,,
,38,506,9.08881664276123,
,38,506,,4.279480457305908
3.9683244228363037,39,509,,
22.624563217163086,39,519,,
,39,519,8.867135047912598,
,39,519,,4.235372543334961
2.7144150733947754,40,529,,
,40,532,10.744048118591309,
,40,532,,3.5178091526031494
4.2279157638549805,41,539,,
,41,545,9.920626640319824,
,41,545,,3.940168857574463
2.8385016918182373,42,549,,
,42,558,7.9416728019714355,
,42,558,,3.709949016571045
4.290945053100586,43,559,,
0.34624797105789185,43,569,,
,43,571,10.411148071289062,
,43,571,,3.4453155994415283
1.1217176914215088,44,579,,
,44,584,10.290532112121582,
,44,584,,3.29900860786438
6.531713485717773,45,589,,
,45,597,9.688034057617188,
,45,597,,3.853058099746704
2.559096097946167,46,599,,
5.581679821014404,46,609,,
,46,610,8.593759536743164,
,46,610,,4.146860122680664
3.753007173538208,47,619,,
,47,623,8.8140869140625,
,47,623,,4.645809650421143
4.636493682861328,48,629,,
,48,636,8.637496948242188,
,48,636,,3.8755815029144287
3.3516080379486084,49,639,,
13.156656265258789,49,649,,
,49,649,9.410808563232422,
,49,649,,3.878031015396118
1.8566138744354248,50,659,,
,50,662,10.30448055267334,
,50,662,,3.673957109451294
2.0741841793060303,51,669,,
,51,675,9.845296859741211,
,51,675,,4.392177581787109
2.2941348552703857,52,679,,
,52,688,9.84731674194336,
,52,688,,3.5595192909240723
6.066377639770508,53,689,,
0.858134925365448,53,699,,
,53,701,10.10862922668457,
,53,701,,3.7742714881896973
2.2446913719177246,54,709,,
,54,714,10.114543914794922,
,54,714,,3.6310927867889404
4.136896133422852,55,719,,
,55,727,10.386919021606445,
,55,727,,3.62678861618042
5.410492897033691,56,729,,
5.711457252502441,56,739,,
,56,740,8.682156562805176,
,56,740,,4.12311315536499
5.719644546508789,57,749,,
,57,753,10.504040718078613,
,57,753,,3.6596858501434326
1.0171459913253784,58,759,,
,58,766,10.017526626586914,
,58,766,,3.632641553878784
3.273385524749756,59,769,,
0.2681891918182373,59,779,,
,59,779,10.196375846862793,
,59,779,,3.3764657974243164
3.3153305053710938,60,789,,
,60,792,10.284870147705078,
,60,792,,3.3741092681884766
3.3448264598846436,61,799,,
,61,805,10.12716007232666,
,61,805,,3.820768356323242
2.1455912590026855,62,809,,
,62,818,10.46753215789795,
,62,818,,3.733243703842163
